visit_id,species,visit_start,visit_end,duration_seconds,max_count_seen
3d8572dd-aaa7-4355-8a87-39bfeeba5249,ungulate,2026-05-26 13:52:48,2026-05-26 13:52:48,0.12,1
b3a4c3f0-bf35-42db-a69d-c3c0b8e19ba5,antelope_like,2026-05-26 13:52:19,2026-05-26 13:52:49,29.97,2
6e886782-ccb7-4777-94c3-a421b9c892b6,antelope_like,2026-05-26 13:53:00,2026-05-26 13:54:52,112.39,5
f6863aa8-6f5b-417b-82ae-b12c061caf3e,antelope_like,2026-05-26 13:55:04,2026-05-26 13:55:12,7.61,1
1113a0e3-9ddd-4d95-b037-cd26bfbf9829,ungulate,2026-05-26 13:54:10,2026-05-26 13:55:24,74.73,1
59986ccd-de02-4398-b3b7-202bccdce01f,ungulate,2026-05-26 13:55:37,2026-05-26 13:56:30,52.97,1
edb45bf4-33ce-40ff-8dc4-760a885c92c0,ungulate,2026-05-26 13:56:40,2026-05-26 13:56:41,0.69,1
983fcc40-663c-450b-b54b-fd2395208fa4,ungulate,2026-05-26 13:57:04,2026-05-26 13:57:04,0.43,1
663b8bc5-dd73-4a30-bcf1-372382459b1e,ungulate,2026-05-26 13:57:26,2026-05-26 13:57:26,0.24,1
9f3c39ab-d52c-4330-89a2-6767bf24e934,ungulate,2026-05-26 13:58:10,2026-05-26 13:58:11,1.12,1
9d508943-3d27-4ad1-92c8-38ddb8798243,ungulate,2026-05-26 13:58:23,2026-05-26 13:58:23,0.09,1
5fc8f8fa-b612-4424-9fc7-69a52bc83994,bird,2026-05-26 14:00:51,2026-05-26 14:00:52,0.72,1
0e62d23b-2623-40af-8b89-6cc11890e255,ungulate,2026-05-26 14:02:08,2026-05-26 14:02:08,0.61,1
20a566a5-0c6d-4c88-a120-8252ca4f5157,ungulate,2026-05-26 14:04:12,2026-05-26 14:04:23,11.39,1
76ff954a-7321-4465-ab01-fa84014f2754,ungulate,2026-05-26 14:04:33,2026-05-26 14:04:33,0.11,1
ca99500d-e7eb-4456-b5db-2af13fa7b712,ungulate,2026-05-26 14:04:44,2026-05-26 14:04:49,4.92,1
81adcd17-8e8d-4bd7-962a-827dafc4f378,ungulate,2026-05-26 14:05:03,2026-05-26 14:05:04,1.27,1
f6af0b84-7a39-4ce2-94c0-2fd672149a55,elephant,2026-05-26 14:05:12,2026-05-26 14:05:21,9.7,2
c1b0bb52-28a8-440a-8708-fa25e25fcd7d,ungulate,2026-05-26 14:05:48,2026-05-26 14:05:49,0.3,1
c600c93b-1c26-42cd-9b2f-c4e6d9a50322,ungulate,2026-05-26 14:07:18,2026-05-26 14:07:48,30.06,2
472b8225-366d-48dc-874a-24b738ad6a6e,ungulate,2026-05-26 14:08:03,2026-05-26 14:08:23,19.91,1
bd602ef7-61d8-47ed-ab46-bf35743bd3fb,ungulate,2026-05-26 14:08:33,2026-05-26 14:08:42,9.0,1
8921af77-7490-4695-886e-c0df3d18aecb,bird,2026-05-26 14:09:13,2026-05-26 14:09:13,0.0,1
04ff796b-4d11-47dc-b3b7-eb97667af4db,bird,2026-05-26 14:09:52,2026-05-26 14:09:59,6.65,1
0b5b18aa-123e-4a45-b0b7-9d7f61797021,ungulate,2026-05-26 14:09:35,2026-05-26 14:09:59,23.95,2
f4e30d9b-011f-46dc-b218-16912ce4063c,ungulate,2026-05-26 14:10:22,2026-05-26 14:10:38,15.61,2
21f8daa7-cb46-4d42-927e-67477ab82006,antelope_like,2026-05-26 13:55:24,2026-05-26 14:10:54,930.05,8
